,kepoi_name,koi_prad,koi_insol,koi_score,size_category
736,K01436.02,1.66,65.24,1.0,super-earth-like
735,K01436.01,1.28,629.8,1.0,earth-like
734,K01435.02,2.18,102.77,1.0,super-earth-like
733,K01435.01,2.2,16.76,1.0,super-earth-like
3515,K00605.01,1.77,69.56,1.0,super-earth-like
3510,K00710.02,1.84,503.98,1.0,super-earth-like
3509,K00710.01,2.12,942.35,1.0,super-earth-like
3508,K00709.01,2.17,25.63,1.0,super-earth-like
3507,K00708.02,2.12,308.61,1.0,super-earth-like
3506,K00661.01,2.71,111.24,1.0,super-earth-like
3504,K00660.01,2.32,360.77,1.0,super-earth-like
3502,K00658.03,1.37,126.21,1.0,earth-like
3501,K00658.02,2.54,341.68,1.0,super-earth-like
3498,K00708.01,2.95,104.04,1.0,super-earth-like
3496,K00707.04,2.82,244.58,1.0,super-earth-like
817,K00165.01,2.38,39.56,1.0,super-earth-like
813,K01332.01,4.0,104.41,1.0,neptune-like
805,K01266.01,1.48,7.32,1.0,earth-like
803,K01264.01,3.02,49.18,1.0,neptune-like
800,K01442.01,1.13,3643.96,1.0,earth-like
794,K01379.01,1.37,229.04,1.0,earth-like
789,K01325.01,4.42,90.33,1.0,neptune-like
787,K01323.01,7.45,378.53,1.0,Gas-Giant
782,K01261.01,11.21,8.29,1.0,Gas-Giant
776,K00171.01,3.26,579.9,1.0,neptune-like
861,K00166.01,2.2,42.08,1.0,super-earth-like
857,K01336.03,2.92,27.31,1.0,super-earth-like
856,K01336.02,2.94,96.38,1.0,super-earth-like
855,K01336.01,2.33,169.13,1.0,super-earth-like
854,K01335.01,9.46,22.21,1.0,Gas-Giant
848,K01457.01,8.43,109.35,1.0,Gas-Giant
847,K01456.01,8.99,232.07,1.0,Gas-Giant
837,K00159.01,2.78,200.35,1.0,super-earth-like
829,K01270.02,1.71,48.06,1.0,super-earth-like
828,K00156.03,2.08,9.37,1.0,super-earth-like
827,K01270.01,2.41,123.03,1.0,super-earth-like
3494,K00658.01,2.61,692.32,1.0,super-earth-like
3493,K00657.02,1.88,15.37,1.0,super-earth-like
3487,K00707.01,4.76,125.14,1.0,neptune-like
3481,K00655.01,2.68,51.47,1.0,super-earth-like
3480,K00654.02,1.72,99.68,1.0,super-earth-like
3479,K00654.01,1.75,125.48,1.0,super-earth-like
3476,K00108.02,5.47,5.41,1.0,neptune-like
3473,K00701.02,1.33,73.38,1.0,earth-like
3471,K00701.01,1.98,15.72,1.0,super-earth-like
3470,K00652.01,4.43,33.64,1.0,neptune-like
3468,K00650.01,5.15,159.04,1.0,neptune-like
3466,K00649.01,2.71,97.94,1.0,super-earth-like
886,K01403.01,1.67,5.03,1.0,super-earth-like
885,K01402.01,2.24,205.23,1.0,super-earth-like
880,K01339.01,2.28,628.73,1.0,super-earth-like
877,K01338.01,1.47,558.65,1.0,earth-like
876,K01337.01,1.28,514.44,1.0,earth-like
873,K01278.02,2.45,13.0,1.0,super-earth-like
872,K00157.01,2.88,90.1,1.0,super-earth-like
871,K01278.01,2.16,28.22,1.0,super-earth-like
868,K01210.01,3.45,183.48,1.0,neptune-like
865,K01207.01,2.71,38.11,1.0,super-earth-like
862,K01396.01,2.54,151.59,1.0,super-earth-like
909,K01216.01,2.06,194.31,1.0,super-earth-like
905,K01406.01,2.6,134.97,1.0,super-earth-like
903,K00167.01,2.86,702.13,1.0,super-earth-like
901,K01342.02,1.77,218.9,1.0,super-earth-like
899,K01341.01,1.84,543.73,1.0,super-earth-like
897,K00159.02,1.24,1164.85,1.0,earth-like
892,K01279.01,1.94,87.24,1.0,super-earth-like
891,K01215.01,3.14,204.1,1.0,neptune-like
890,K01214.01,1.44,452.95,1.0,earth-like
3464,K00740.01,2.44,16.38,1.0,super-earth-like
3461,K00738.02,2.78,61.8,1.0,super-earth-like
3458,K00700.02,1.42,89.47,1.0,earth-like
3457,K00700.01,2.23,18.22,1.0,super-earth-like
3454,K00647.01,2.06,694.32,1.0,super-earth-like
3450,K00738.01,2.98,86.46,1.0,super-earth-like
3448,K00736.02,1.44,26.64,1.0,earth-like
3447,K00736.01,2.33,6.79,1.0,super-earth-like
3444,K00108.01,3.33,136.42,1.0,neptune-like
3440,K00695.01,2.16,23.92,1.0,super-earth-like
949,K01353.02,2.67,32.02,1.0,super-earth-like
948,K01353.01,12.37,5.71,1.0,Gas-Giant
938,K01288.01,10.36,7.2,1.0,Gas-Giant
933,K01221.01,4.54,115.69,1.0,neptune-like
927,K01410.01,2.77,86.18,1.0,super-earth-like
926,K01409.01,2.94,57.28,1.0,super-earth-like
916,K00157.02,3.2,42.95,1.0,neptune-like
913,K00153.01,2.36,36.89,1.0,super-earth-like
990,K01301.01,2.62,52.55,1.0,super-earth-like
989,K01300.01,1.2,726.72,1.0,earth-like
986,K01298.01,2.15,13.39,1.0,super-earth-like
979,K00168.02,2.17,152.62,1.0,super-earth-like
978,K01422.02,1.52,1.83,1.0,super-earth-like
977,K01422.01,1.38,9.38,1.0,earth-like
973,K00161.01,2.68,217.91,1.0,super-earth-like
965,K00157.03,4.12,27.17,1.0,neptune-like
960,K00153.02,2.0,85.23,1.0,super-earth-like
950,K00168.01,3.06,243.94,1.0,neptune-like
